id,timestamp,metric_name,metric_value,baseline_window,current_window,drift_detected,model_version
25,2026-06-03T20:54:21.979415,confidence_std,0.9053,2024-01-01/2024-01-07,2024-01-08/2024-01-14,True,v1.2
26,2026-06-04T02:54:21.979415,confidence_mean,0.343,2024-01-01/2024-01-07,2024-01-08/2024-01-14,False,v1.2
27,2026-06-04T10:54:21.979415,confidence_std,0.7102,2024-01-01/2024-01-07,2024-01-08/2024-01-14,True,v1.2
28,2026-06-04T14:54:21.979415,class_distribution_psi,0.5318,2024-01-01/2024-01-07,2024-01-08/2024-01-14,False,v1.0
29,2026-06-04T11:54:21.979415,confidence_std,0.788,2024-01-01/2024-01-07,2024-01-08/2024-01-14,True,v1.0
30,2026-06-03T02:54:21.979415,prediction_entropy,0.8376,2024-01-01/2024-01-07,2024-01-08/2024-01-14,True,v1.2
31,2026-06-04T18:54:21.979415,class_distribution_psi,0.8133,2024-01-01/2024-01-07,2024-01-08/2024-01-14,True,v1.0
32,2026-06-03T20:54:21.979415,class_distribution_psi,0.4856,2024-01-01/2024-01-07,2024-01-08/2024-01-14,False,v1.2
33,2026-06-03T12:54:21.979415,confidence_mean,0.8568,2024-01-01/2024-01-07,2024-01-08/2024-01-14,True,v1.2
34,2026-06-03T23:54:21.979415,class_distribution_psi,0.0712,2024-01-01/2024-01-07,2024-01-08/2024-01-14,False,v1.1
35,2026-06-03T05:54:21.979415,confidence_mean,0.9457,2024-01-01/2024-01-07,2024-01-08/2024-01-14,True,v1.1
36,2026-06-03T19:54:21.979415,class_distribution_psi,0.5236,2024-01-01/2024-01-07,2024-01-08/2024-01-14,False,v1.0
37,2026-06-04T13:54:21.979415,class_distribution_psi,0.2041,2024-01-01/2024-01-07,2024-01-08/2024-01-14,False,v1.2
38,2026-06-04T00:54:21.979415,class_distribution_psi,0.5016,2024-01-01/2024-01-07,2024-01-08/2024-01-14,False,v1.1
39,2026-06-03T06:54:21.979415,class_distribution_psi,0.1553,2024-01-01/2024-01-07,2024-01-08/2024-01-14,False,v1.0
40,2026-06-03T23:54:21.979415,confidence_std,0.0795,2024-01-01/2024-01-07,2024-01-08/2024-01-14,False,v1.2
41,2026-06-03T15:54:21.979415,class_distribution_psi,0.131,2024-01-01/2024-01-07,2024-01-08/2024-01-14,False,v1.1
42,2026-06-04T07:54:21.979415,confidence_mean,0.407,2024-01-01/2024-01-07,2024-01-08/2024-01-14,False,v1.1
43,2026-06-03T18:54:21.979415,confidence_mean,0.6483,2024-01-01/2024-01-07,2024-01-08/2024-01-14,True,v1.2
44,2026-06-03T15:54:21.979415,prediction_entropy,0.3519,2024-01-01/2024-01-07,2024-01-08/2024-01-14,False,v1.0
45,2026-06-04T03:54:21.979415,class_distribution_psi,0.4857,2024-01-01/2024-01-07,2024-01-08/2024-01-14,False,v1.2
46,2026-06-03T16:54:21.979415,class_distribution_psi,0.9143,2024-01-01/2024-01-07,2024-01-08/2024-01-14,True,v1.1
47,2026-06-04T18:54:21.979415,class_distribution_psi,0.2675,2024-01-01/2024-01-07,2024-01-08/2024-01-14,False,v1.1
48,2026-06-04T06:54:21.979415,prediction_entropy,0.198,2024-01-01/2024-01-07,2024-01-08/2024-01-14,False,v1.1
49,2026-06-03T14:54:21.979415,prediction_entropy,0.1142,2024-01-01/2024-01-07,2024-01-08/2024-01-14,False,v1.0
50,2026-06-03T09:54:21.979415,severe_rate,0.5444,2024-01-01/2024-01-07,2024-01-08/2024-01-14,False,v1.1
